,Entry_Date,BANKNIFTY,Days To Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_price,CE_Exit_Time,PE_Symbol,PE_Entry_Price,PE_Exit_price,PE_Exit_Time,PnL
38,2022-02-25,36367.1992,7,BANKNIFTY03MAR2236900CE,273.65,360.1,09:45:00,BANKNIFTY03MAR2235100PE,363.6,286.05,15:15:00,-222.50000000000068
39,2022-02-28,36285.4492,4,BANKNIFTY03MAR2236600CE,238.4,324.8,11:02:00,BANKNIFTY03MAR2235100PE,342.35,252.25,15:15:00,92.50000000000045
40,2022-03-02,35551.1484,2,BANKNIFTY03MAR2236100CE,215.65,152.8,15:15:00,BANKNIFTY03MAR2234800PE,287.3,381.95,12:46:00,-794.9999999999998
41,2022-03-03,35264.8008,1,BANKNIFTY03MAR2236100CE,106.0,0.9,15:15:00,BANKNIFTY03MAR2235500PE,123.8,164.55,09:22:00,1608.7499999999995
42,2022-03-04,34421.1992,7,BANKNIFTY10MAR2235400CE,289.6,378.45,12:53:00,BANKNIFTY10MAR2233500PE,410.7,360.55,15:15:00,-967.4999999999995
43,2022-03-07,33111.6016,4,BANKNIFTY10MAR2234300CE,259.9,198.0,15:15:00,BANKNIFTY10MAR2232600PE,357.4,469.85,09:23:00,-1263.7500000000014
44,2022-03-08,33340.0,3,BANKNIFTY10MAR2233700CE,278.55,298.45,15:15:00,BANKNIFTY10MAR2232000PE,322.0,431.2,09:20:00,-3227.499999999999
45,2022-03-09,33910.0,2,BANKNIFTY10MAR2233700CE,214.45,281.4,12:38:00,BANKNIFTY10MAR2232500PE,263.2,41.75,15:15:00,3862.5
46,2022-03-10,34610.0508,1,BANKNIFTY10MAR2235300CE,108.2,143.6,09:19:00,BANKNIFTY10MAR2234600PE,151.25,224.55,13:50:00,-2717.5
47,2022-03-11,34578.3516,7,BANKNIFTY17MAR2235200CE,295.35,386.55,09:21:00,BANKNIFTY17MAR2233300PE,369.2,271.45,15:15:00,163.75000000000045
48,2022-03-14,35189.25,4,BANKNIFTY17MAR2235700CE,280.9,368.9,12:51:00,BANKNIFTY17MAR2234100PE,362.05,283.05,15:15:00,-225.0
49,2022-03-15,35051.8516,3,BANKNIFTY17MAR2236200CE,257.2,117.2,15:15:00,BANKNIFTY17MAR2234800PE,321.2,417.75,13:15:00,1086.2499999999995
50,2022-03-16,35786.0508,2,BANKNIFTY17MAR2236200CE,182.2,177.15,15:15:00,BANKNIFTY17MAR2235100PE,230.7,153.0,15:15:00,2068.7499999999995
51,2022-03-17,36435.0,1,BANKNIFTY17MAR2236700CE,82.25,0.4,15:15:00,BANKNIFTY17MAR2236100PE,106.05,0.8,15:15:00,4677.5
52,2022-03-21,36130.0,4,BANKNIFTY24MAR2237200CE,229.45,128.45,15:15:00,BANKNIFTY24MAR2235800PE,286.2,376.0,09:21:00,279.99999999999955
53,2022-03-22,36470.75,3,BANKNIFTY24MAR2236500CE,221.85,312.6,13:12:00,BANKNIFTY24MAR2235300PE,249.2,338.35,10:13:00,-4497.500000000002
54,2022-03-23,36242.5,2,BANKNIFTY24MAR2237200CE,144.7,44.0,15:15:00,BANKNIFTY24MAR2236300PE,152.2,220.5,09:43:00,809.9999999999993
55,2022-03-24,35639.8984,1,BANKNIFTY24MAR2236000CE,91.9,130.0,09:54:00,BANKNIFTY24MAR2235400PE,105.2,1.15,15:15:00,1648.75
56,2022-03-25,35452.5,7,BANKNIFTY31MAR2236500CE,248.1,172.2,15:15:00,BANKNIFTY31MAR2234900PE,294.15,389.95,13:48:00,-497.5000000000002
57,2022-03-28,35815.0,4,BANKNIFTY31MAR2236100CE,242.45,320.0,14:36:00,BANKNIFTY31MAR2234800PE,266.95,363.6,09:45:00,-4355.000000000001
58,2022-03-29,35925.75,3,BANKNIFTY31MAR2236500CE,168.55,128.25,15:15:00,BANKNIFTY31MAR2235400PE,187.05,249.9,10:42:00,-563.7499999999995
